participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,perceived_anthropomorphism_post,perceived_animacy_post,perceived_likeability_post,perceived_intelligence_post,perceived_safety_post,empathy_with_the_animal_post,climate_change_impact_on_animal_post,intentions_pre,intentions_post,intentions_change,self_perceived_behavior_pre,self_perceived_behavior_post,self_perceived_behavior_change,choices,condition,animal
A2CC7718FF8D48C89A3A5A89631236E2,35,1,6,3,63.5,74.75,11.25,5.8,5.6,-0.2,70.71428571,66,-4.714285714,5.666666667,6.166666667,0.5,1,1,0,1,3,3.5,4,3.5,4,4,5,4,4,0,3.5,3,-0.5,2,Static Character Narrative,beluga
12FDF1E462534A958855E4C0F43B052D,33,2,2,1,0,0,0,2,3,1,46.42857143,49.57142857,3.142857143,3.5,3.166666667,-0.3333333333,0,0,0,,2,3,5,3,3,3,2,2.5,2.5,0,2,2,0,1,Static Character Narrative,beluga
2DB97E7443E943A09EAD8CB44367BFA4,35,1,6,3,70.75,64.25,-6.5,6.2,6.4,0.2,77.28571429,72.71428571,-4.571428571,5.833333333,5.833333333,0,1,1,0,1,3,4,4,5,4,5,5,3.5,4,0.5,2.5,2,-0.5,2,Static Character Narrative,beluga
8CB4783FC18B4A3FB135F624FF83B33A,19,1,3,2,98.25,100,1.75,4.6,4.6,0,89.85714286,89.28571429,-0.5714285714,5.666666667,6,0.3333333333,0,0,0,,3,3,3,3,3,3,3,5,4.5,-0.5,3.5,3,-0.5,1,Static Character Narrative,beluga
AE341C099F464C02A6DDCFAF0C8CAFD7,36,1,5,3,4.75,2,-2.75,3.6,3.4,-0.2,25.42857143,19.71428571,-5.714285714,1.166666667,1.166666667,0,0,0,0,,4,3,4,2.5,4,3,2,1.5,1.5,0,4,4,0,0.5,Static Character Narrative,beluga
9E16A95FAA50473FA4269944178CF98E,41,2,5,2,69,78.25,9.25,5,6,1,63.57142857,59.57142857,-4,4.166666667,4.5,0.3333333333,0,1,1,0,3,3,4,4,3,4,5,2.5,3,0.5,3,3,0,0.6666666667,Static Character Narrative,beluga
A556F0D4E39642E18BDE11B71B39E1E9,24,1,5,3,62.5,62.5,0,5.6,5.6,0,51.42857143,51.42857143,0,4.333333333,4.333333333,0,0,1,1,0,3,4,5,4,3,4,4,3,3,0,2,2,0,2,Static Character Narrative,beluga
69253765EB7A45BC898C9175DB06FCED,41,2,5,1,92.5,97.5,5,6.2,5.8,-0.4,57.85714286,55,-2.857142857,4.166666667,4.666666667,0.5,1,1,0,1,5,5,5,5,4,5,5,3,3,0,4,4,0,1,Static Character Narrative,beluga
057071BFAB3646AF8A7361C5A4DD2DF1,47,2,6,1,53.75,60.75,7,4.2,4.4,0.2,46.14285714,46.28571429,0.1428571429,1.666666667,1.166666667,-0.5,0,0,0,,5,5,5,5,5,5,5,2,2,0,5,5,0,1,Static Character Narrative,beluga
676BB3565E7B4CE69D16E02819AD579D,62,2,3,1,75,70,-5,3.8,4.2,0.4,65.71428571,58.57142857,-7.142857143,4.5,5,0.5,,,,0,3,3,4,4,3,4,4,3.5,3.5,0,2,2,0,5,Static Character Narrative,beluga
C2EC0AB8657C458A8032E3347C37234D,44,2,2,3,100,100,0,4.6,4.6,0,100,100,0,6,6,0,1,1,0,1,4,5,5,5,5,5,5,3.5,4,0.5,4,4,0,6,Static Character Narrative,beluga
